Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","120","Cameroon","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","2.997","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","124","Canada","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.065","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","136","Cayman Islands","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.05","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","140","Central African Republic","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.784","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","148","Chad","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","2.941","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","152","Chile","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.387","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","344","China, Hong Kong SAR","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","4.718","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","156","China, mainland","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","2.96","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","158","China, Taiwan Province of","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","170","Colombia","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.301","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","178","Congo","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.626","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","188","Costa Rica","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.925","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","384","Côte d'Ivoire","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.909","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","191","Croatia","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","4.29","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","531","Curaçao","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.495","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","196","Cyprus","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","2.955","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","203","Czechia","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","2.985","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","180","Democratic Republic of the Congo","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","2.253","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","208","Denmark","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","2.5","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","262","Djibouti","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.25","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","212","Dominica","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","4.561","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","214","Dominican Republic","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","4.128","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","218","Ecuador","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.035","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","818","Egypt","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.506","E","Estimated value"
